r_[m]	a_(ws=3.0)_[-]	a_(ws=4.0)_[-]	a_(ws=5.0)_[-]	a_(ws=6.0)_[-]	a_(ws=7.0)_[-]	a_(ws=8.0)_[-]	a_(ws=9.0)_[-]	a_(ws=10.0)_[-]	a_(ws=11.0)_[-]	a'_(ws=3.0)_[-]	a'_(ws=4.0)_[-]	a'_(ws=5.0)_[-]	a'_(ws=6.0)_[-]	a'_(ws=7.0)_[-]	a'_(ws=8.0)_[-]	a'_(ws=9.0)_[-]	a'_(ws=10.0)_[-]	a'_(ws=11.0)_[-]	Cn_(ws=3.0)_[-]	Cn_(ws=4.0)_[-]	Cn_(ws=5.0)_[-]	Cn_(ws=6.0)_[-]	Cn_(ws=7.0)_[-]	Cn_(ws=8.0)_[-]	Cn_(ws=9.0)_[-]	Cn_(ws=10.0)_[-]	Cn_(ws=11.0)_[-]	Ct_(ws=3.0)_[-]	Ct_(ws=4.0)_[-]	Ct_(ws=5.0)_[-]	Ct_(ws=6.0)_[-]	Ct_(ws=7.0)_[-]	Ct_(ws=8.0)_[-]	Ct_(ws=9.0)_[-]	Ct_(ws=10.0)_[-]	Ct_(ws=11.0)_[-]	Alpha_(ws=3.0)_[deg]	Alpha_(ws=4.0)_[deg]	Alpha_(ws=5.0)_[deg]	Alpha_(ws=6.0)_[deg]	Alpha_(ws=7.0)_[deg]	Alpha_(ws=8.0)_[deg]	Alpha_(ws=9.0)_[deg]	Alpha_(ws=10.0)_[deg]	Alpha_(ws=11.0)_[deg]	Cl_(ws=3.0)_[-]	Cl_(ws=4.0)_[-]	Cl_(ws=5.0)_[-]	Cl_(ws=6.0)_[-]	Cl_(ws=7.0)_[-]	Cl_(ws=8.0)_[-]	Cl_(ws=9.0)_[-]	Cl_(ws=10.0)_[-]	Cl_(ws=11.0)_[-]	Cd_(ws=3.0)_[-]	Cd_(ws=4.0)_[-]	Cd_(ws=5.0)_[-]	Cd_(ws=6.0)_[-]	Cd_(ws=7.0)_[-]	Cd_(ws=8.0)_[-]	Cd_(ws=9.0)_[-]	Cd_(ws=10.0)_[-]	Cd_(ws=11.0)_[-]	Vrel_(ws=3.0)_[m/s]	Vrel_(ws=4.0)_[m/s]	Vrel_(ws=5.0)_[m/s]	Vrel_(ws=6.0)_[m/s]	Vrel_(ws=7.0)_[m/s]	Vrel_(ws=8.0)_[m/s]	Vrel_(ws=9.0)_[m/s]	Vrel_(ws=10.0)_[m/s]	Vrel_(ws=11.0)_[m/s]
7.325	0.22	0.22	0.22	0.22	0.22	0.22	0.21	0.21	0.2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.64	0.65	0.66	0.66	0.66	0.66	0.78	0.93	1.07	0.04	0.04	0.04	0.04	0.04	0.04	0.06	0.1	0.14	3.85	3.94	3.96	3.97	3.96	3.97	5.01	6.32	7.69	0.64	0.66	0.66	0.66	0.66	0.66	0.78	0.93	1.08	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	12.723754617332103	16.824824674768283	20.99782419674782	25.182808590022592	29.376895394625933	33.55875520683679	34.55577621853825	34.88169449614833	35.201658919601954
7.975	0.22	0.22	0.22	0.22	0.22	0.22	0.21	0.2	0.2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.63	0.64	0.64	0.64	0.64	0.64	0.76	0.9	1.04	0.03	0.04	0.04	0.04	0.04	0.04	0.06	0.09	0.13	3.71	3.8	3.81	3.82	3.82	3.82	4.81	6.05	7.33	0.63	0.64	0.64	0.64	0.64	0.64	0.76	0.9	1.04	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	13.794759382036279	18.241024622452	22.764412386084214	27.30118906207686	31.847698712357882	36.38144165272117	37.43287178959989	37.743909306983355	38.046970535849745
8.625	0.22	0.22	0.22	0.22	0.22	0.22	0.21	0.2	0.19	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.62	0.63	0.63	0.63	0.63	0.63	0.74	0.87	0.98	0.03	0.03	0.03	0.04	0.04	0.04	0.05	0.08	0.11	3.66	3.74	3.75	3.76	3.76	3.76	4.71	5.92	7.19	0.62	0.63	0.63	0.63	0.63	0.63	0.74	0.87	0.99	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	14.869525495294486	19.66228981625482	24.537870393473334	29.427718575608434	34.327653974760366	39.21472920961523	40.32330830422961	40.62308980977302	40.91401424176256
9.275	0.22	0.22	0.22	0.22	0.22	0.22	0.21	0.2	0.18	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.61	0.62	0.62	0.62	0.62	0.62	0.73	0.85	0.97	0.03	0.03	0.03	0.03	0.03	0.03	0.05	0.08	0.11	3.63	3.71	3.72	3.73	3.73	3.73	4.64	5.79	6.99	0.61	0.62	0.62	0.63	0.63	0.63	0.73	0.86	0.97	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	15.946703146430567	21.088041787318495	26.316095161746343	31.559856593147448	36.81465644247636	42.05580497867282	43.22288747147906	43.511980905893274	43.79101160925928
9.925	0.22	0.22	0.22	0.22	0.22	0.22	0.21	0.2	0.18	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.61	0.62	0.62	0.63	0.63	0.63	0.73	0.85	0.95	0.03	0.03	0.03	0.03	0.03	0.03	0.05	0.08	0.11	3.65	3.72	3.73	3.74	3.74	3.74	4.61	5.72	6.86	0.62	0.62	0.63	0.63	0.63	0.63	0.73	0.85	0.96	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	17.026938588272024	22.516593507184158	28.098850644720297	33.697096313669896	39.307607589825196	44.90381857236652	46.13070021785072	46.410794265824094	46.679947610347895
10.575	0.22	0.22	0.22	0.22	0.22	0.22	0.21	0.19	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.62	0.63	0.63	0.63	0.63	0.63	0.73	0.84	0.95	0.03	0.04	0.04	0.04	0.04	0.04	0.05	0.08	0.1	3.68	3.75	3.76	3.77	3.77	3.77	4.62	5.67	6.77	0.62	0.63	0.63	0.63	0.63	0.63	0.73	0.84	0.95	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	18.109684641109517	23.948621263825302	29.885326038434346	35.83904949727823	41.80566803972563	47.75752879820091	49.0456653454123	49.31797084476287	49.578735308625795
11.225	0.22	0.22	0.22	0.22	0.22	0.22	0.2	0.19	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.63	0.63	0.64	0.64	0.64	0.64	0.73	0.84	0.94	0.03	0.04	0.04	0.04	0.04	0.04	0.05	0.08	0.1	3.75	3.81	3.83	3.84	3.83	3.84	4.65	5.67	6.71	0.63	0.64	0.64	0.64	0.64	0.64	0.73	0.84	0.95	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	19.19402680817201	25.383166504049854	31.67489193619704	37.98442393852857	44.30797362116359	50.61615782000458	51.966217566819545	52.23211420127956	52.48556333882335
11.875	0.22	0.22	0.22	0.22	0.22	0.22	0.2	0.18	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.64	0.64	0.64	0.65	0.65	0.65	0.74	0.84	0.94	0.04	0.04	0.04	0.04	0.04	0.04	0.05	0.08	0.1	3.83	3.9	3.91	3.92	3.91	3.92	4.7	5.69	6.69	0.64	0.64	0.65	0.65	0.65	0.65	0.74	0.85	0.94	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	20.28017248665445	26.819825263604656	33.46733339027057	40.13313932547848	46.81404436059935	53.4787411273243	54.89163630404234	55.15194960283845	55.398996426062595
12.525	0.21	0.21	0.21	0.21	0.21	0.21	0.19	0.17	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.65	0.65	0.65	0.65	0.65	0.73	0.82	0.92	0.04	0.04	0.04	0.04	0.04	0.04	0.05	0.07	0.1	3.96	4.02	4.03	4.04	4.04	4.04	4.82	5.78	6.72	0.64	0.65	0.65	0.65	0.65	0.65	0.73	0.83	0.93	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	21.367846656304163	28.25860776992659	35.26247841748087	42.28513086561971	49.32406851675016	56.34601040821173	57.8229708166352	58.07839858766779	58.319656184614225
13.175	0.2	0.2	0.2	0.2	0.2	0.2	0.18	0.16	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65	0.66	0.66	0.66	0.66	0.66	0.73	0.83	0.92	0.04	0.04	0.04	0.04	0.04	0.04	0.06	0.07	0.1	4.06	4.12	4.13	4.14	4.14	4.14	4.89	5.81	6.72	0.65	0.66	0.66	0.66	0.66	0.66	0.74	0.83	0.93	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	22.45640871927074	29.69857246771491	37.058919749273485	44.43907668600679	51.8362026784649	59.21553918059735	60.75627122141769	61.00742854134514	61.24420698716082
