r_[m]	a_(ws=3.0)_[-]	a_(ws=4.0)_[-]	a_(ws=5.0)_[-]	a_(ws=6.0)_[-]	a_(ws=7.0)_[-]	a_(ws=8.0)_[-]	a_(ws=9.0)_[-]	a_(ws=10.0)_[-]	a_(ws=11.0)_[-]	a'_(ws=3.0)_[-]	a'_(ws=4.0)_[-]	a'_(ws=5.0)_[-]	a'_(ws=6.0)_[-]	a'_(ws=7.0)_[-]	a'_(ws=8.0)_[-]	a'_(ws=9.0)_[-]	a'_(ws=10.0)_[-]	a'_(ws=11.0)_[-]	Cn_(ws=3.0)_[-]	Cn_(ws=4.0)_[-]	Cn_(ws=5.0)_[-]	Cn_(ws=6.0)_[-]	Cn_(ws=7.0)_[-]	Cn_(ws=8.0)_[-]	Cn_(ws=9.0)_[-]	Cn_(ws=10.0)_[-]	Cn_(ws=11.0)_[-]	Ct_(ws=3.0)_[-]	Ct_(ws=4.0)_[-]	Ct_(ws=5.0)_[-]	Ct_(ws=6.0)_[-]	Ct_(ws=7.0)_[-]	Ct_(ws=8.0)_[-]	Ct_(ws=9.0)_[-]	Ct_(ws=10.0)_[-]	Ct_(ws=11.0)_[-]	Alpha_(ws=3.0)_[deg]	Alpha_(ws=4.0)_[deg]	Alpha_(ws=5.0)_[deg]	Alpha_(ws=6.0)_[deg]	Alpha_(ws=7.0)_[deg]	Alpha_(ws=8.0)_[deg]	Alpha_(ws=9.0)_[deg]	Alpha_(ws=10.0)_[deg]	Alpha_(ws=11.0)_[deg]	Cl_(ws=3.0)_[-]	Cl_(ws=4.0)_[-]	Cl_(ws=5.0)_[-]	Cl_(ws=6.0)_[-]	Cl_(ws=7.0)_[-]	Cl_(ws=8.0)_[-]	Cl_(ws=9.0)_[-]	Cl_(ws=10.0)_[-]	Cl_(ws=11.0)_[-]	Cd_(ws=3.0)_[-]	Cd_(ws=4.0)_[-]	Cd_(ws=5.0)_[-]	Cd_(ws=6.0)_[-]	Cd_(ws=7.0)_[-]	Cd_(ws=8.0)_[-]	Cd_(ws=9.0)_[-]	Cd_(ws=10.0)_[-]	Cd_(ws=11.0)_[-]	Vrel_(ws=3.0)_[m/s]	Vrel_(ws=4.0)_[m/s]	Vrel_(ws=5.0)_[m/s]	Vrel_(ws=6.0)_[m/s]	Vrel_(ws=7.0)_[m/s]	Vrel_(ws=8.0)_[m/s]	Vrel_(ws=9.0)_[m/s]	Vrel_(ws=10.0)_[m/s]	Vrel_(ws=11.0)_[m/s]
7.325	0.22	0.22	0.22	0.22	0.22	0.22	0.21	0.21	0.2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.67	0.68	0.68	0.68	0.68	0.68	0.78	0.93	1.07	0.04	0.04	0.04	0.04	0.04	0.04	0.06	0.1	0.14	4.07	4.16	4.18	4.19	4.19	4.19	5.01	6.32	7.69	0.67	0.68	0.68	0.69	0.69	0.69	0.78	0.93	1.08	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	12.478377113939382	16.49879904745689	20.58467037062452	24.671940373355636	28.784184386416737	32.89376183535964	34.540542383775204	34.87064605022236	35.187238904419324
7.975	0.22	0.22	0.22	0.22	0.22	0.22	0.21	0.21	0.2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.65	0.66	0.66	0.66	0.66	0.67	0.76	0.9	1.04	0.04	0.04	0.04	0.04	0.04	0.04	0.06	0.09	0.12	3.91	4.0	4.02	4.03	4.03	4.03	4.81	6.04	7.32	0.65	0.66	0.66	0.67	0.67	0.67	0.76	0.9	1.04	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	13.526446910812645	17.88461356754618	22.312398031755002	26.74402720737928	31.2007626450962	35.65501290301729	37.41654874990142	37.73095908830685	38.02967544668789
8.625	0.22	0.22	0.22	0.22	0.22	0.22	0.21	0.2	0.19	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.64	0.65	0.65	0.65	0.65	0.65	0.74	0.86	0.98	0.04	0.04	0.04	0.04	0.04	0.04	0.05	0.08	0.11	3.85	3.93	3.95	3.96	3.96	3.96	4.7	5.9	7.16	0.64	0.65	0.65	0.65	0.65	0.65	0.74	0.87	0.99	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	14.579108272287902	19.27562383818711	24.046920229565583	28.82399068860763	33.626459744653296	38.42647141053556	40.30512459380946	40.60758627036331	40.89264592028882
9.275	0.22	0.22	0.22	0.22	0.22	0.22	0.21	0.2	0.19	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.63	0.64	0.65	0.65	0.65	0.65	0.73	0.85	0.96	0.04	0.04	0.04	0.04	0.04	0.04	0.05	0.08	0.11	3.81	3.88	3.91	3.91	3.92	3.92	4.63	5.76	6.94	0.63	0.64	0.65	0.65	0.65	0.65	0.73	0.85	0.97	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	15.6342316224641	20.66987161923952	25.786136995314617	30.909936738330583	36.0586535712746	41.20539355648696	43.202226070355394	43.49275338710816	43.76417644545664
9.925	0.22	0.22	0.22	0.22	0.22	0.22	0.21	0.2	0.19	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.63	0.64	0.64	0.64	0.64	0.64	0.72	0.84	0.95	0.04	0.04	0.04	0.04	0.04	0.04	0.05	0.08	0.1	3.8	3.87	3.9	3.9	3.9	3.9	4.58	5.66	6.78	0.63	0.64	0.64	0.65	0.65	0.65	0.72	0.84	0.95	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	16.691350073026495	22.068020914020426	27.52915857358508	33.00016133590879	38.49635688401375	43.99015126016998	46.10644991268605	46.386082567500225	46.64530541602053
10.575	0.22	0.22	0.22	0.22	0.22	0.22	0.21	0.2	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.63	0.64	0.64	0.64	0.64	0.64	0.72	0.83	0.93	0.04	0.04	0.04	0.04	0.04	0.04	0.05	0.07	0.1	3.81	3.87	3.9	3.9	3.9	3.9	4.55	5.57	6.63	0.63	0.64	0.64	0.65	0.65	0.65	0.72	0.83	0.94	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	17.75010716929588	23.46777261306797	29.274663302717215	35.093632183626504	40.9376672150874	46.77930056534266	49.014996227412446	49.28461085680167	49.53227090987115
11.225	0.23	0.23	0.23	0.23	0.23	0.23	0.22	0.21	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.63	0.64	0.64	0.64	0.64	0.65	0.72	0.82	0.92	0.04	0.04	0.04	0.04	0.04	0.04	0.05	0.07	0.1	3.82	3.88	3.9	3.9	3.91	3.91	4.52	5.49	6.48	0.64	0.64	0.65	0.65	0.65	0.65	0.72	0.82	0.92	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	18.80972657286259	24.868100307459994	31.021020203157494	37.188032064913415	43.38002582095024	49.5696355100832	51.924966776597095	52.184410424680316	52.420523109790196
11.875	0.24	0.24	0.24	0.24	0.24	0.24	0.23	0.22	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.63	0.64	0.64	0.64	0.64	0.64	0.71	0.81	0.9	0.04	0.04	0.04	0.04	0.04	0.04	0.05	0.07	0.09	3.79	3.85	3.87	3.87	3.88	3.88	4.45	5.36	6.3	0.63	0.64	0.64	0.64	0.64	0.64	0.71	0.81	0.91	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	19.86817830309036	26.26712297147902	32.765511631573574	39.28034136447935	45.81977829625496	52.35665862573736	54.83099295478991	55.079308746266776	55.303403119737176
12.525	0.26	0.26	0.26	0.26	0.26	0.26	0.25	0.23	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	0.61	0.62	0.62	0.62	0.62	0.68	0.76	0.85	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.06	0.08	3.68	3.73	3.75	3.76	3.76	3.76	4.3	5.17	6.04	0.61	0.62	0.62	0.62	0.62	0.62	0.68	0.76	0.85	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	20.921597032051583	27.65994239639344	34.50215597541782	41.363152765008934	48.248360473832896	55.131156133064444	57.72243706075557	57.95852827888017	58.1678160693153
13.175	0.36	0.36	0.36	0.35	0.35	0.35	0.35	0.33	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53	0.53	0.54	0.54	0.54	0.54	0.59	0.67	0.75	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.04	0.06	2.98	3.02	3.04	3.05	3.05	3.05	3.51	4.25	5.03	0.53	0.53	0.54	0.54	0.54	0.54	0.59	0.67	0.75	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	21.950592699801067	29.019612499918132	36.197566331885746	43.396271440231374	50.61912855689738	57.83938447783246	60.534508793618954	60.741419413197086	60.921253390640416
