Alpha_[deg] Cl_[-]      Cd_[-]        Cm_[-]
26.5      0.97659      0.23686     -0.17745
  27      0.97727      0.24657     -0.17843
27.5      0.97848      0.25638     -0.17927
  28      0.98001      0.26631     -0.18002
  30       0.9856      0.30734     -0.18322
  35      0.96612      0.41926     -0.20058
  40       0.9196      0.54016     -0.22427
  45      0.87442      0.66451     -0.24491
  50       0.8248      0.78873     -0.26332
  55      0.75933      0.90961     -0.28214
  60      0.67822       1.0236     -0.30101
  65      0.58448       1.1272     -0.31899
  70      0.48061       1.2171     -0.33574
  75      0.36832       1.2906     -0.35116
  80      0.24669       1.3466     -0.36526
  85      0.11801       1.3836     -0.37778
  90            0       1.3971     -0.38701
  95     -0.09265       1.3836     -0.39142
100     -0.17268       1.3466     -0.39134
105     -0.25508       1.2906     -0.38751
110     -0.33643       1.2171     -0.38036
115     -0.41007       1.1272     -0.37032
120     -0.47475       1.0236     -0.35825
125     -0.53053      0.90968     -0.34506
130     -0.57736      0.78873     -0.33145
135     -0.61517      0.66426     -0.31846
140     -0.64372      0.54016     -0.30886
145     -0.66499       0.4202     -0.30485
150     -0.68992      0.30734     -0.30482
155     -0.72788      0.20484     -0.31263
160     -0.77292      0.11793     -0.35777
165     -0.80231      0.05188     -0.45071
170     -0.74157         0.01         -0.5
175     -0.50327      -0.0049     -0.38873
180            0         0.01            0
